№ Сделки;Тип;Дата и время;Сигнал;Цена USDT;Размер позиции (кол-во);Размер позиции (цена);Чистая прибыль / убыток USDT;Чистая прибыль / убыток %;Благоприятное отклонение USDT;Благоприятное отклонение %;Неблагоприятное отклонение USDT;Неблагоприятное отклонение %;Совокупные ПР/УБ USDT;Совокупные ПР/УБ %
77;Вход в короткую позицию;2025-07-13 13:00;RsiSE;2948.3;0.3391;999.76853;-133.46;-13.34;5.2;0.52;-132.67;-13.26;578.46;5.78
78;Выход из короткой позиции;2025-07-20 19:30;SL Достигнут;3819.54;0.2963;999.760645;-133.46;-13.34;18.26;1.83;-132.67;-13.26;445;4.45
78;Вход в короткую позицию;2025-07-17 01:30;RsiSE;3374.15;0.2963;999.760645;-133.46;-13.34;18.26;1.83;-132.67;-13.26;445;4.45
79;Выход из короткой позиции;2025-07-22 07:30;TP Достигнут;3687.97;0.2649;999.94452;21.62;2.16;22.3;2.23;-23.85;-2.38;466.62;4.67
79;Вход в короткую позицию;2025-07-21 13:30;RsiSE;3774.8;0.2649;999.94452;21.62;2.16;22.3;2.23;-23.85;-2.38;466.62;4.67
80;Выход из короткой позиции;2025-07-23 23:30;TP Достигнут;3545.74;0.2755;999.85011;21.62;2.16;22.3;2.23;-38.1;-3.81;488.23;4.88
80;Вход в короткую позицию;2025-07-22 11:30;RsiSE;3629.22;0.2755;999.85011;21.62;2.16;22.3;2.23;-38.1;-3.81;488.23;4.88
81;Выход из короткой позиции;2025-08-01 21:00;TP Достигнут;3552.72;0.275;999.999;21.62;2.16;22.3;2.23;-85.12;-8.51;509.85;5.10
81;Вход в короткую позицию;2025-07-24 13:00;RsiSE;3636.36;0.275;999.999;21.62;2.16;22.3;2.23;-85.12;-8.51;509.85;5.10
82;Выход из короткой позиции;2025-08-08 01:30;SL Достигнут;3927.81;0.2882;999.993478;-133.49;-13.34;4.95;0.50;-132.7;-13.26;376.36;3.76
82;Вход в короткую позицию;2025-08-03 17:30;RsiSE;3469.79;0.2882;999.993478;-133.49;-13.34;4.95;0.50;-132.7;-13.26;376.36;3.76
83;Выход из короткой позиции;2025-08-12 15:30;SL Достигнут;4399.51;0.2573;999.993877;-133.49;-13.34;1.39;0.14;-132.7;-13.26;242.87;2.43
83;Вход в короткую позицию;2025-08-08 05:00;RsiSE;3886.49;0.2573;999.993877;-133.49;-13.34;1.39;0.14;-132.7;-13.26;242.87;2.43
84;Выход из короткой позиции;2025-08-15 18:30;TP Достигнут;4395.04;0.2222;999.568922;21.61;2.16;22.29;2.23;-66.35;-6.63;264.47;2.64
84;Вход в короткую позицию;2025-08-12 21:00;RsiSE;4498.51;0.2222;999.568922;21.61;2.16;22.29;2.23;-66.35;-6.63;264.47;2.64
85;Выход из короткой позиции;2025-08-18 06:30;TP Достигнут;4290.44;0.2277;999.933165;21.62;2.16;22.3;2.23;-42.66;-4.26;286.09;2.86
85;Вход в короткую позицию;2025-08-16 17:00;RsiSE;4391.45;0.2277;999.933165;21.62;2.16;22.3;2.23;-42.66;-4.26;286.09;2.86
86;Выход из длинной позиции;2025-08-22 17:00;TP Достигнут;4389.32;0.233;999.71679;21.58;2.16;22.29;2.23;-54.5;-5.45;307.67;3.08
86;Вход в длинную позицию;2025-08-18 13:00;RsiLE;4290.63;0.233;999.71679;21.58;2.16;22.29;2.23;-54.5;-5.45;307.67;3.08
87;Выход из короткой позиции;2025-08-25 03:30;TP Достигнут;4673.83;0.209;999.82674;21.61;2.16;22.3;2.23;-37.09;-3.71;329.28;3.29
87;Вход в короткую позицию;2025-08-24 02:30;RsiSE;4783.86;0.209;999.82674;21.61;2.16;22.3;2.23;-37.09;-3.71;329.28;3.29
88;Выход из короткой позиции;2025-08-25 22:00;TP Достигнут;4504.32;0.2169;999.987084;21.62;2.16;22.3;2.23;-7.87;-0.79;350.9;3.51
88;Вход в короткую позицию;2025-08-25 19:00;RsiSE;4610.36;0.2169;999.987084;21.62;2.16;22.3;2.23;-7.87;-0.79;350.9;3.51
89;Выход из короткой позиции;2025-08-28 01:00;TP Достигнут;4481.58;0.218;999.98562;21.62;2.16;22.3;2.23;-17.25;-1.72;372.51;3.73
89;Вход в короткую позицию;2025-08-27 15:30;RsiSE;4587.09;0.218;999.98562;21.62;2.16;22.3;2.23;-17.25;-1.72;372.51;3.73
90;Выход из короткой позиции;2025-09-01 23:30;TP Достигнут;4282.57;0.2281;999.851259;21.61;2.16;22.3;2.23;-26.48;-2.65;394.13;3.94
90;Вход в короткую позицию;2025-08-30 12:30;RsiSE;4383.39;0.2281;999.851259;21.61;2.16;22.3;2.23;-26.48;-2.65;394.13;3.94
91;Выход из короткой позиции;2025-09-22 09:00;TP Достигнут;4189.78;0.2331;999.630702;21.61;2.16;22.29;2.23;-112.04;-11.20;415.74;4.16
91;Вход в короткую позицию;2025-09-02 21:30;RsiSE;4288.42;0.2331;999.630702;21.61;2.16;22.29;2.23;-112.04;-11.20;415.74;4.16
92;Выход из короткой позиции;2025-09-24 07:00;TP Достигнут;4090.67;0.2388;999.850824;21.62;2.16;22.3;2.23;-6.05;-0.61;437.35;4.37
92;Вход в короткую позицию;2025-09-23 14:30;RsiSE;4186.98;0.2388;999.850824;21.62;2.16;22.3;2.23;-6.05;-0.61;437.35;4.37
93;Выход из короткой позиции;2025-09-25 06:00;TP Достигнут;4047.35;0.2413;999.619032;21.61;2.16;22.29;2.23;-5.3;-0.53;458.96;4.59
93;Вход в короткую позицию;2025-09-25 01:00;RsiSE;4142.64;0.2413;999.619032;21.61;2.16;22.29;2.23;-5.3;-0.53;458.96;4.59
94;Выход из короткой позиции;2025-10-02 22:00;SL Достигнут;4515.24;0.2507;999.972104;-133.49;-13.34;6.25;0.63;-132.7;-13.26;325.47;3.25
94;Вход в короткую позицию;2025-09-26 20:00;RsiSE;3988.72;0.2507;999.972104;-133.49;-13.34;6.25;0.63;-132.7;-13.26;325.47;3.25
95;Выход из короткой позиции;2025-10-09 11:00;TP Достигнут;4391.96;0.2224;999.768064;21.61;2.16;22.3;2.23;-58.6;-5.86;347.08;3.47
95;Вход в короткую позицию;2025-10-03 08:00;RsiSE;4495.36;0.2224;999.768064;21.61;2.16;22.3;2.23;-58.6;-5.86;347.08;3.47
96;Выход из короткой позиции;2025-10-10 18:00;TP Достигнут;4264.73;0.229;999.61477;21.61;2.16;22.29;2.23;-7.06;-0.71;368.69;3.69
96;Вход в короткую позицию;2025-10-10 02:30;RsiSE;4365.13;0.229;999.61477;21.61;2.16;22.29;2.23;-7.06;-0.71;368.69;3.69
97;Выход из длинной позиции;2025-10-11 00:00;SL Достигнут;3490.38;0.2486;999.665348;-133.26;-13.32;0;0.00;-132.66;-13.26;235.43;2.35
97;Вход в длинную позицию;2025-10-10 23:30;RsiLE;4021.18;0.2486;999.665348;-133.26;-13.32;0;0.00;-132.66;-13.26;235.43;2.35
98;Выход из длинной позиции;2025-10-12 17:30;TP Достигнут;4000.99;0.2556;999.659268;21.58;2.16;22.29;2.23;-70.62;-7.06;257.01;2.57
98;Вход в длинную позицию;2025-10-11 01:00;RsiLE;3911.03;0.2556;999.659268;21.58;2.16;22.29;2.23;-70.62;-7.06;257.01;2.57
99;Выход из короткой позиции;2025-10-13 14:00;TP Достигнут;4034.73;0.2421;999.805212;21.61;2.16;22.3;2.23;-17.09;-1.71;278.62;2.79
99;Вход в короткую позицию;2025-10-13 09:00;RsiSE;4129.72;0.2421;999.805212;21.61;2.16;22.3;2.23;-17.09;-1.71;278.62;2.79
100;Выход из короткой позиции;2025-10-14 06:00;TP Достигнут;4141.85;0.2358;999.641088;21.61;2.16;22.29;2.23;-6.04;-0.60;300.23;3.00
100;Вход в короткую позицию;2025-10-14 03:00;RsiSE;4239.36;0.2358;999.641088;21.61;2.16;22.29;2.23;-6.04;-0.60;300.23;3.00
101;Выход из длинной позиции;2025-10-14 18:30;TP Достигнут;4058.46;0.252;999.73692;21.58;2.16;22.3;2.23;-19.8;-1.98;321.81;3.22
101;Вход в длинную позицию;2025-10-14 14:30;RsiLE;3967.21;0.252;999.73692;21.58;2.16;22.3;2.23;-19.8;-1.98;321.81;3.22
102;Выход из короткой позиции;2025-10-15 17:30;TP Достигнут;4000.42;0.2442;999.90132;21.61;2.16;22.3;2.23;-30.21;-3.02;343.42;3.43
102;Вход в короткую позицию;2025-10-14 20:00;RsiSE;4094.6;0.2442;999.90132;21.61;2.16;22.3;2.23;-30.21;-3.02;343.42;3.43
103;Выход из короткой позиции;2025-10-16 18:30;TP Достигнут;3920.74;0.2491;999.648264;21.61;2.16;22.29;2.23;-18.38;-1.84;365.03;3.65
103;Вход в короткую позицию;2025-10-16 07:00;RsiSE;4013.04;0.2491;999.648264;21.61;2.16;22.29;2.23;-18.38;-1.84;365.03;3.65
104;Выход из короткой позиции;2025-10-17 09:30;TP Достигнут;3829.53;0.2551;999.912919;21.62;2.16;22.3;2.23;-3;-0.30;386.65;3.87
104;Вход в короткую позицию;2025-10-17 07:30;RsiSE;3919.69;0.2551;999.912919;21.62;2.16;22.3;2.23;-3;-0.30;386.65;3.87
105;Выход из длинной позиции;2025-10-17 14:00;TP Достигнут;3809.05;0.2685;999.735585;21.58;2.16;22.29;2.23;-2.07;-0.21;408.23;4.08
105;Вход в длинную позицию;2025-10-17 14:00;RsiLE;3723.41;0.2685;999.735585;21.58;2.16;22.29;2.23;-2.07;-0.21;408.23;4.08
106;Выход из короткой позиции;2025-10-23 00:00;TP Достигнут;3742.22;0.261;999.71352;21.61;2.16;22.29;2.23;-73.7;-7.37;429.84;4.30
106;Вход в короткую позицию;2025-10-17 22:30;RsiSE;3830.32;0.261;999.71352;21.61;2.16;22.29;2.23;-73.7;-7.37;429.84;4.30
107;Выход из короткой позиции;2025-10-29 21:30;TP Достигнут;3854.37;0.2534;999.690874;21.61;2.16;22.29;2.23;-79.13;-7.91;451.45;4.51
107;Вход в короткую позицию;2025-10-24 17:00;RsiSE;3945.11;0.2534;999.690874;21.61;2.16;22.29;2.23;-79.13;-7.91;451.45;4.51
108;Выход из короткой позиции;2025-11-03 06:00;TP Достигнут;3745.2;0.2608;999.742896;21.61;2.16;22.29;2.23;-22.51;-2.25;473.06;4.73
108;Вход в короткую позицию;2025-10-31 14:30;RsiSE;3833.37;0.2608;999.742896;21.61;2.16;22.29;2.23;-22.51;-2.25;473.06;4.73
109;Выход из длинной позиции;2025-11-04 23:00;SL Достигнут;3224.38;0.2691;999.633843;-133.26;-13.32;8.19;0.82;-132.65;-13.26;339.8;3.40
109;Вход в длинную позицию;2025-11-03 12:00;RsiLE;3714.73;0.2691;999.633843;-133.26;-13.32;8.19;0.82;-132.65;-13.26;339.8;3.40
110;Выход из короткой позиции;2025-11-06 19:30;TP Достигнут;3255.58;0.3;999.669;21.61;2.16;22.3;2.23;-44.69;-4.47;361.41;3.61
110;Вход в короткую позицию;2025-11-05 08:30;RsiSE;3332.23;0.3;999.669;21.61;2.16;22.3;2.23;-44.69;-4.47;361.41;3.61
111;Выход из короткой позиции;2025-11-07 14:00;TP Достигнут;3266.57;0.299;999.69753;21.61;2.16;22.29;2.23;-8.33;-0.83;383.02;3.83
111;Вход в короткую позицию;2025-11-07 07:00;RsiSE;3343.47;0.299;999.69753;21.61;2.16;22.29;2.23;-8.33;-0.83;383.02;3.83
112;Выход из короткой позиции;2025-11-13 21:00;TP Достигнут;3231.45;0.3023;999.866319;21.62;2.16;22.3;2.23;-106.65;-10.66;404.63;4.05
112;Вход в короткую позицию;2025-11-07 20:00;RsiSE;3307.53;0.3023;999.866319;21.62;2.16;22.3;2.23;-106.65;-10.66;404.63;4.05
113;Выход из короткой позиции;2025-11-16 18:30;TP Достигнут;3101.11;0.315;999.8478;21.61;2.16;22.3;2.23;-24.12;-2.41;426.25;4.26
113;Вход в короткую позицию;2025-11-15 10:00;RsiSE;3174.12;0.315;999.8478;21.61;2.16;22.3;2.23;-24.12;-2.41;426.25;4.26
114;Выход из короткой позиции;2025-11-17 21:00;TP Достигнут;3041.69;0.3212;999.99196;21.62;2.16;22.3;2.23;-35.9;-3.59;447.87;4.48
114;Вход в короткую позицию;2025-11-17 05:00;RsiSE;3113.3;0.3212;999.99196;21.62;2.16;22.3;2.23;-35.9;-3.59;447.87;4.48
115;Выход из длинной позиции;2025-11-18 18:00;TP Достигнут;3092.81;0.3307;999.795389;21.58;2.16;22.3;2.23;-22.57;-2.26;469.45;4.69
115;Вход в длинную позицию;2025-11-18 07:00;RsiLE;3023.27;0.3307;999.795389;21.58;2.16;22.3;2.23;-22.57;-2.26;469.45;4.69
116;Выход из короткой позиции;2025-11-19 08:00;TP Достигнут;3025.13;0.3229;999.811415;21.61;2.16;22.3;2.23;-10.97;-1.10;491.06;4.91
116;Вход в короткую позицию;2025-11-19 01:00;RsiSE;3096.35;0.3229;999.811415;21.61;2.16;22.3;2.23;-10.97;-1.10;491.06;4.91
117;Выход из короткой позиции;2025-11-20 19:00;TP Достигнут;2914.63;0.3352;999.9854;21.62;2.16;22.3;2.23;-27.48;-2.75;512.68;5.13
117;Вход в короткую позицию;2025-11-20 02:00;RsiSE;2983.25;0.3352;999.9854;21.62;2.16;22.3;2.23;-27.48;-2.75;512.68;5.13
118;Выход из длинной позиции;2025-11-24 20:30;TP Достигнут;2929.56;0.3491;999.714179;21.58;2.16;22.3;2.23;-85.51;-8.55;534.26;5.34
118;Вход в длинную позицию;2025-11-21 00:30;RsiLE;2863.69;0.3491;999.714179;21.58;2.16;22.3;2.23;-85.51;-8.55;534.26;5.34
119;Выход из короткой позиции;2025-11-25 17:30;TP Достигнут;2853.13;0.3424;999.91072;21.62;2.16;22.3;2.23;-5.8;-0.58;555.87;5.56
119;Вход в короткую позицию;2025-11-25 08:30;RsiSE;2920.3;0.3424;999.91072;21.62;2.16;22.3;2.23;-5.8;-0.58;555.87;5.56
120;Выход из короткой позиции;2025-11-26 15:00;TP Достигнут;2889.96;0.338;999.804;21.61;2.16;22.3;2.23;-9.22;-0.92;577.49;5.77
120;Вход в короткую позицию;2025-11-26 03:00;RsiSE;2958;0.338;999.804;21.61;2.16;22.3;2.23;-9.22;-0.92;577.49;5.77
121;Выход из короткой позиции;2025-12-01 03:00;TP Достигнут;2940.02;0.3323;999.970452;21.62;2.16;22.3;2.23;-30.08;-3.01;599.11;5.99
121;Вход в короткую позицию;2025-11-28 02:00;RsiSE;3009.24;0.3323;999.970452;21.62;2.16;22.3;2.23;-30.08;-3.01;599.11;5.99
122;Выход из длинной позиции;2025-12-02 17:30;TP Достигнут;2903.56;0.3523;999.922521;21.59;2.16;22.3;2.23;-43.55;-4.35;620.69;6.21
122;Вход в длинную позицию;2025-12-01 11:00;RsiLE;2838.27;0.3523;999.922521;21.59;2.16;22.3;2.23;-43.55;-4.35;620.69;6.21
123;Выход из короткой позиции;2025-12-05 19:30;TP Достигнут;3042.29;0.3211;999.876501;21.61;2.16;22.3;2.23;-41.04;-4.10;642.3;6.42
123;Вход в короткую позицию;2025-12-03 22:00;RsiSE;3113.91;0.3211;999.876501;21.61;2.16;22.3;2.23;-41.04;-4.10;642.3;6.42
124;Выход из короткой позиции;2025-12-07 17:00;TP Достигнут;2980.6;0.3277;999.737329;21.61;2.16;22.29;2.23;-3.39;-0.34;663.92;6.64
124;Вход в короткую позицию;2025-12-06 20:00;RsiSE;3050.77;0.3277;999.737329;21.61;2.16;22.29;2.23;-3.39;-0.34;663.92;6.64
125;Выход из короткой позиции;2025-12-08 01:30;TP Достигнут;3012.82;0.3242;999.75175;21.61;2.16;22.3;2.23;-1.17;-0.12;685.53;6.86
125;Вход в короткую позицию;2025-12-08 01:00;RsiSE;3083.75;0.3242;999.75175;21.61;2.16;22.3;2.23;-1.17;-0.12;685.53;6.86
126;Выход из короткой позиции;2025-12-15 18:30;TP Достигнут;2985.05;0.3272;999.703976;21.61;2.16;22.3;2.23;-129.03;-12.90;707.14;7.07
126;Вход в короткую позицию;2025-12-08 03:30;RsiSE;3055.33;0.3272;999.703976;21.61;2.16;22.3;2.23;-129.03;-12.90;707.14;7.07
127;Выход из короткой позиции;2025-12-17 19:00;TP Достигнут;2881.49;0.339;999.82287;21.61;2.16;22.3;2.23;-27.88;-2.79;728.75;7.29
127;Вход в короткую позицию;2025-12-17 03:30;RsiSE;2949.33;0.339;999.82287;21.61;2.16;22.3;2.23;-27.88;-2.79;728.75;7.29
128;Выход из короткой позиции;2026-01-05 04:30;SL Достигнут;3198.5;0.3539;999.955067;-133.49;-13.34;17.82;1.78;-132.69;-13.26;595.27;5.95
128;Вход в короткую позицию;2025-12-18 08:30;RsiSE;2825.53;0.3539;999.955067;-133.49;-13.34;17.82;1.78;-132.69;-13.26;595.27;5.95
129;Выход из короткой позиции;2026-01-07 18:00;TP Достигнут;3145.69;0.3105;999.732375;21.61;2.16;22.3;2.23;-28.1;-2.81;616.88;6.17
129;Вход в короткую позицию;2026-01-06 03:30;RsiSE;3219.75;0.3105;999.732375;21.61;2.16;22.3;2.23;-28.1;-2.81;616.88;6.17
130;Выход из короткой позиции;2026-01-20 17:30;TP Достигнут;3032.47;0.3221;999.753306;21.61;2.16;22.29;2.23;-96.96;-9.69;638.49;6.38
130;Вход в короткую позицию;2026-01-09 05:00;RsiSE;3103.86;0.3221;999.753306;21.61;2.16;22.29;2.23;-96.96;-9.69;638.49;6.38
131;Выход из короткой позиции;2026-01-21 15:00;TP Достигнут;2910.37;0.3356;999.715484;21.61;2.16;22.3;2.23;-2.53;-0.25;660.1;6.60
131;Вход в короткую позицию;2026-01-21 10:00;RsiSE;2978.89;0.3356;999.715484;21.61;2.16;22.3;2.23;-2.53;-0.25;660.1;6.60
132;Выход из короткой позиции;2026-01-22 18:00;TP Достигнут;2918.79;0.3347;999.919597;21.62;2.16;22.3;2.23;-8;-0.80;681.72;6.82
132;Вход в короткую позицию;2026-01-22 14:30;RsiSE;2987.51;0.3347;999.919597;21.62;2.16;22.3;2.23;-8;-0.80;681.72;6.82
133;Выход из короткой позиции;2026-01-25 21:00;TP Достигнут;2868.39;0.3406;999.974352;21.62;2.16;22.3;2.23;-29.04;-2.90;703.34;7.03
133;Вход в короткую позицию;2026-01-22 23:30;RsiSE;2935.92;0.3406;999.974352;21.62;2.16;22.3;2.23;-29.04;-2.90;703.34;7.03
134;Выход из длинной позиции;2026-01-26 04:30;TP Достигнут;2884.67;0.3546;999.904626;21.58;2.16;22.3;2.23;-13.02;-1.30;724.92;7.25
134;Вход в длинную позицию;2026-01-26 00:30;RsiLE;2819.81;0.3546;999.904626;21.58;2.16;22.3;2.23;-13.02;-1.30;724.92;7.25
135;Выход из короткой позиции;2026-01-29 18:30;TP Достигнут;2798.89;0.349;999.81171;21.62;2.16;22.3;2.23;-63.88;-6.38;746.53;7.47
135;Вход в короткую позицию;2026-01-26 06:00;RsiSE;2864.79;0.349;999.81171;21.62;2.16;22.3;2.23;-63.88;-6.38;746.53;7.47
136;Выход из короткой позиции;2026-02-01 16:30;TP Достигнут;2372.91;0.4117;999.928726;21.62;2.16;22.3;2.23;-1.11;-0.11;768.15;7.68
136;Вход в короткую позицию;2026-02-01 13:30;RsiSE;2428.78;0.4117;999.928726;21.62;2.16;22.3;2.23;-1.11;-0.11;768.15;7.68
137;Выход из короткой позиции;2026-02-02 06:00;TP Достигнут;2239.03;0.4363;999.890525;21.62;2.16;22.3;2.23;-11.88;-1.19;789.77;7.90
137;Вход в короткую позицию;2026-02-02 04:00;RsiSE;2291.75;0.4363;999.890525;21.62;2.16;22.3;2.23;-11.88;-1.19;789.77;7.90
138;Выход из короткой позиции;2026-02-03 12:00;TP Достигнут;2278.74;0.4287;999.895593;21.62;2.16;22.3;2.23;-9.96;-1.00;811.39;8.11
138;Вход в короткую позицию;2026-02-03 07:30;RsiSE;2332.39;0.4287;999.895593;21.62;2.16;22.3;2.23;-9.96;-1.00;811.39;8.11
139;Выход из длинной позиции;2026-02-03 23:00;TP Достигнут;2239.36;0.4568;999.939768;21.58;2.16;22.3;2.23;-2.33;-0.23;832.97;8.33
139;Вход в длинную позицию;2026-02-03 22:30;RsiLE;2189.01;0.4568;999.939768;21.58;2.16;22.3;2.23;-2.33;-0.23;832.97;8.33
140;Выход из короткой позиции;2026-02-04 16:30;TP Достигнут;2220.61;0.4399;999.844311;21.61;2.16;22.3;2.23;-9.7;-0.97;854.58;8.55
140;Вход в короткую позицию;2026-02-04 08:00;RsiSE;2272.89;0.4399;999.844311;21.61;2.16;22.3;2.23;-9.7;-0.97;854.58;8.55
141;Выход из длинной позиции;2026-02-06 04:30;TP Достигнут;1918.28;0.5332;999.82998;21.58;2.16;22.3;2.23;-72.61;-7.26;876.17;8.76
141;Вход в длинную позицию;2026-02-06 01:30;RsiLE;1875.15;0.5332;999.82998;21.58;2.16;22.3;2.23;-72.61;-7.26;876.17;8.76
142;Выход из короткой позиции;2026-02-06 10:00;TP Достигнут;1894.85;0.5156;999.985576;21.62;2.16;22.3;2.23;-1.13;-0.11;897.78;8.98
142;Вход в короткую позицию;2026-02-06 09:30;RsiSE;1939.46;0.5156;999.985576;21.62;2.16;22.3;2.23;-1.13;-0.11;897.78;8.98
143;Выход из короткой позиции;2026-02-07 19:00;TP Достигнут;1993.47;0.49;999.796;21.61;2.16;22.3;2.23;-11.95;-1.19;919.39;9.19
143;Вход в короткую позицию;2026-02-07 16:00;RsiSE;2040.4;0.49;999.796;21.61;2.16;22.3;2.23;-11.95;-1.19;919.39;9.19
144;Выход из короткой позиции;2026-02-09 11:30;TP Достигнут;2040.11;0.4788;999.801432;21.61;2.16;22.3;2.23;-31.38;-3.14;941.01;9.41
144;Вход в короткую позицию;2026-02-08 06:30;RsiSE;2088.14;0.4788;999.801432;21.61;2.16;22.3;2.23;-31.38;-3.14;941.01;9.41
145;Выход из короткой позиции;2026-02-10 06:30;TP Достигнут;2059.16;0.4744;999.864416;21.62;2.16;22.3;2.23;-8.38;-0.84;962.62;9.63
145;Вход в короткую позицию;2026-02-10 02:30;RsiSE;2107.64;0.4744;999.864416;21.62;2.16;22.3;2.23;-8.38;-0.84;962.62;9.63
146;Выход из длинной позиции;2026-02-11 17:00;TP Достигнут;1995.11;0.5127;999.893175;21.58;2.16;22.3;2.23;-5.26;-0.53;984.21;9.84
146;Вход в длинную позицию;2026-02-11 14:30;RsiLE;1950.25;0.5127;999.893175;21.58;2.16;22.3;2.23;-5.26;-0.53;984.21;9.84
147;Выход из короткой позиции;2026-02-12 19:30;TP Достигнут;1896.32;0.5152;999.987744;21.62;2.16;22.3;2.23;-31.85;-3.18;1005.83;10.06
147;Вход в короткую позицию;2026-02-11 23:30;RsiSE;1940.97;0.5152;999.987744;21.62;2.16;22.3;2.23;-31.85;-3.18;1005.83;10.06
148;Выход из короткой позиции;2026-02-23 04:00;TP Достигнут;1904.91;0.5128;999.836928;21.62;2.16;22.3;2.23;-81.52;-8.15;1027.44;10.27
148;Вход в короткую позицию;2026-02-13 07:30;RsiSE;1949.76;0.5128;999.836928;21.62;2.16;22.3;2.23;-81.52;-8.15;1027.44;10.27
149;Выход из длинной позиции;2026-02-23 12:30;TP Достигнут;1908.61;0.5359;999.823271;21.58;2.16;22.3;2.23;-2.86;-0.29;1049.03;10.49
149;Вход в длинную позицию;2026-02-23 08:30;RsiLE;1865.69;0.5359;999.823271;21.58;2.16;22.3;2.23;-2.86;-0.29;1049.03;10.49
150;Выход из короткой позиции;2026-02-23 20:00;TP Достигнут;1868.49;0.5228;999.844544;21.61;2.16;22.3;2.23;-12.44;-1.24;1070.64;10.71
150;Вход в короткую позицию;2026-02-23 15:30;RsiSE;1912.48;0.5228;999.844544;21.61;2.16;22.3;2.23;-12.44;-1.24;1070.64;10.71
151;Выход из длинной позиции;2026-02-25 04:00;TP Достигнут;1902.48;0.5377;999.96069;21.59;2.16;22.3;2.23;-34.41;-3.44;1092.23;10.92
151;Вход в длинную позицию;2026-02-24 00:00;RsiLE;1859.7;0.5377;999.96069;21.59;2.16;22.3;2.23;-34.41;-3.44;1092.23;10.92
152;Выход из короткой позиции;2026-02-26 00:30;SL Достигнут;2136.03;0.5299;999.894805;-133.48;-13.34;2.36;0.24;-132.69;-13.26;958.75;9.59
152;Вход в короткую позицию;2026-02-25 09:00;RsiSE;1886.95;0.5299;999.894805;-133.48;-13.34;2.36;0.24;-132.69;-13.26;958.75;9.59
153;Выход из короткой позиции;2026-02-26 19:30;TP Достигнут;1997.92;0.489;999.98544;21.62;2.16;22.3;2.23;-19.86;-1.98;980.37;9.80
153;Вход в короткую позицию;2026-02-26 05:30;RsiSE;2044.96;0.489;999.98544;21.62;2.16;22.3;2.23;-19.86;-1.98;980.37;9.80
154;Выход из короткой позиции;2026-02-27 13:00;TP Достигнут;1985.01;0.4921;999.824175;21.62;2.16;22.3;2.23;-7.22;-0.72;1001.98;10.02
154;Вход в короткую позицию;2026-02-27 09:30;RsiSE;2031.75;0.4921;999.824175;21.62;2.16;22.3;2.23;-7.22;-0.72;1001.98;10.02
